East_m,North_m,Species
80.56,143.85,SF
84.26,142.77,SF
87.58,145.23,SF
87.86,148.56,SF
81.53,147.38,SF
85.23,149.57,SF
85.4,150.52,SF
89.84,152.68,DF
83.66,155.17,SF
81.02,155.6,SF
79.79,154.63,SF
75.84,153.87,WH
76.23,152.5,WH
76.52,149.22,WH
76.69,147.87,WH
76.54,146.79,WH
79.41,149.48,SF
79.69,150.49,SF
70.68,128.21,SF
66.65,128.08,SF
64.63,129.24,WH
69.83,132.76,SF
69.44,132.65,SF
63.39,133.86,SF
59.76,130.06,SF
61.1,125.24,SF
60.11,118.24,WH
58.87,124.59,SF
52.19,127.47,WH
50.83,125.95,SF
53.61,125.22,SF
55.69,122.39,SF
57.92,121.24,SF
56.26,117.32,SF
47.26,114.13,SF
49.9,121.77,WH
48.69,125.15,SF
46.06,125.44,SF
44.68,124.27,SF
43.12,124.34,SF
45.98,127.45,SF
48.24,127.26,SF
51.12,127.48,SF
48.71,128.81,SF
49.41,130.45,SF
50.94,130.88,SF
50.55,132.47,SF
52.83,131.42,SF
47.58,137.15,SF
41.86,138.52,DF
43.4,138.64,DF
43.32,139.44,SF
43.21,139.64,SF
43.61,140.83,DF
39.56,140.99,DF
48.63,142.22,WH
48.35,142.42,SF
50.66,140.87,SF
56.81,135.55,WH
54.64,141.7,WH
60.87,145.96,WH
61.51,143.58,DF
62.52,137.64,WH
65.33,135.96,SF
59.44,139.2,SF
43.25,117.48,WH
42.28,118.32,SF
42.59,117.19,SF
42.04,117.9,SF
41.12,123.57,SF
41.96,124.12,SF
42.05,124.4,SF
32.88,125.65,DF
31.29,124.44,SF
30.99,125.49,DF
34.23,119.13,DF
32.06,118.15,SF
33.31,117.42,DF
32.75,117.04,DF
38.36,117.88,DF
38.51,115.64,DF
39.5,112.73,SF
37.3,113.45,SF
36.76,115.13,DF
34.63,112.64,SF
29.56,113.72,DF
25.37,113.05,WH
24.8,111.07,SF
18.34,108.14,DF
15.8,109.92,GF
15.47,109.88,SF
13.31,115.38,DF
24.39,117.85,DF
24.57,118.59,SF
22.7,118.52,DF
21.58,118.56,SF
21.65,121.93,DF
20.66,120.16,DF
18.14,118.98,DF
15.39,119.51,SF
17.89,121,DF
6.2,130.89,DF
9.42,131.64,DF
9.51,129.7,WH
11.33,130.55,DF
13.01,128.9,WH
17.42,131.57,DF
14.62,127.02,DF
18.79,130.21,DF
19.46,129.79,SF
16.64,124.41,DF
21.69,125.47,DF
24.24,125.57,SF
26.38,127.54,DF
26.18,131.73,DF
25,131.13,DF
18.3,134.01,DF
19.09,134.38,SF
19.86,135.92,DF
27.79,135.91,DF
30.58,135.56,WH
32.17,135.42,DF
34.68,140.15,SF
37.41,136.86,SF
36.71,130.49,DF
37.43,130.05,DF
36.77,129.82,DF
32.49,129.47,SF
29.07,132.69,WH
207.24,113.76,SF
209.5,121.21,DF
207.89,122.67,DF
209.27,125.32,DF
200.55,126.29,WH
202.61,132.42,DF
210.87,131.53,WH
214.67,130.42,WH
212.91,116.84,WH
220.43,118.64,DF
221.8,116.37,WH
222.2,114.66,DF
227.01,119.49,WH
221.78,127.67,WH
227.43,129.3,DF
230.8,130.05,DF
233.61,126.88,WH
201.39,140.14,DF
199.74,140.91,SF
203.12,147.15,DF
201.5,147.69,WH
221.49,144.17,DF
223.65,164.79,WH
225.35,146.73,WH
227.43,162.31,DF
245.46,175.95,WH
241.99,169.33,WH
251.51,173.16,DF
249.62,157.38,DF
239.92,153.73,SF
236.69,147.66,WH
241.65,147.52,WH
265.07,129.02,DF
235.24,133.19,WH
254.16,134.42,WH
245.72,128.32,SF
264.69,159.44,WH
268.51,157.59,SF
279.8,159.4,DF
289.49,148.62,WH
292.02,143.67,WH
291.07,142.31,WH
292.29,133.22,WH
268.72,152.6,DF
282.79,147.4,WH
273.03,184.65,DF
283.12,165.34,WH
279.56,163.22,WH
260.56,174.53,DF
256.83,177.59,WH
269.74,172.02,WH
178.17,124.41,DF
193.85,131.35,DF
198.77,133.06,DF
182.4,102.03,DF
188.39,118.98,SF
193.36,121.38,WH
195.39,125.8,DF
191.76,105.67,DF
191.49,107.13,SF
184.03,157.03,DF
183.72,153.15,DF
189.4,132.86,SF
181.92,133.38,DF
180.95,129.44,WH
172.89,133.68,WH
171.79,128,WH
168.82,125.15,DF
155.89,146.96,DF
161.08,126.55,SF
139.05,134.69,WH
142.35,131.46,DF
144.57,123.29,SF
146.83,116.61,WH
159.5,119.92,DF
160.63,116.2,DF
169.6,117.34,WH
170.36,117.21,WH
168.71,94.91,DF
149.79,91.52,DF
150.89,97.76,DF
146.74,98.39,DF
161.09,102.52,DF
162.99,102.04,DF
165.44,106.04,WH
117.05,94.02,WH
121.46,81.85,GF
128.36,79.81,DF
134.44,87.32,DF
140.39,107.3,GF
121.68,106.16,DF
132.33,96.88,DF
133.38,91.92,DF
111.02,118.07,DF
112.46,123.64,WH
106.98,124.63,WH
123.25,135.76,DF
132.8,126.14,DF
131.26,117.24,WH
116.54,110.86,DF
114.06,114.82,DF
110.24,72.89,DF
100.96,73.21,DF
94.61,90.59,DF
102.69,100.01,WH
98.6,122.15,WH
92.22,124.82,WH
92.38,120.06,DF
105.16,107.84,DF
77,121.31,DF
95.05,96.32,DF
96.98,98.03,DF
79.24,105.23,DF
72.76,102.54,WH
75.61,110.54,SF
58.36,114.1,DF
55.39,110.38,WH
54.78,110.24,WH
71.75,93.81,SF
72.34,90.59,DF
66.04,90.44,DF
63.34,95.18,WH
61.61,94.47,WH
62.43,90.76,DF
87.62,82.39,WH
86.83,72.5,SF
85.15,69.27,WH
82.64,72.35,SF
74.35,77.7,DF
72.26,71.38,SF
322.26,138.83,WH
313.81,151.66,WH
318.68,159.91,GF
317.39,162.23,GF
303.38,156.97,WH
311.25,144.78,DF
313.27,140.92,WH
302.2,139.55,WH
302.24,145.57,WH
296.33,157.08,WH
279.71,125.29,DF
270.8,123.49,DF
190.61,97.11,WH
163.72,89.72,SF
315.81,170.13,SF
308.49,171.7,DF
306.01,188.1,WH
301.84,171.05,WH
223.84,107.88,WH
206.48,133.07,WH
211.2,132.02,WH
227.82,112.65,SF
228.76,111.22,SF
229.77,117.53,SF
230.48,117.65,SF
222.2,122.52,SF
223.33,130.22,WH
236.71,115.1,SF
202.42,144.43,WH
197.71,158.7,SF
199.38,158.45,WH
199.06,159.36,SF
203.28,155.52,SF
207,164.7,SF
206.69,155.96,SF
207.52,158.6,SF
207.61,141.93,SF
209.53,159,SF
209.04,153.22,SF
211.78,158.01,SF
212.58,139.34,SF
214.03,146.32,SF
215.58,149.71,WH
218.26,167.2,SF
223.05,165.53,WH
227.32,153.8,WH
225.7,148.11,WH
234.96,162.85,SF
237.74,161.57,SF
252.59,178.22,WH
252.41,162.8,WH
236.49,146.33,WH
244.9,146.42,WH
252.04,150.49,SF
253.14,153.78,SF
257.76,154.72,SF
259.02,154.37,SF
262.08,146.56,SF
262.56,138.29,SF
263.86,131.93,SF
266.63,124.65,SF
259.87,123.81,SF
253.4,121.87,SF
252.45,118.81,SF
252.48,122.12,WH
250.14,118.83,WH
245.64,119.71,SF
241.51,119.24,SF
243.54,121.21,SF
239.36,125.12,SF
236.73,134.72,WH
236.24,135.8,WH
239.79,136.89,WH
243.51,136.09,SF
245.18,132.76,WH
252.63,124.38,SF
256.52,131.5,SF
260.52,131.81,SF
259.92,160.01,SF
283.43,154.06,SF
283.78,152.41,SF
278.58,152.45,SF
288.59,153.55,SF
288.36,149.69,WH
290.4,144.52,WH
283.96,138.96,WH
280.6,131.45,SF
267.36,137.09,SF
277.08,139.08,SF
271.92,136.6,SF
271.67,140.83,SF
264.94,141.22,SF
263.08,150.58,SF
261.21,153.3,SF
274.96,154.55,SF
286.11,175.66,SF
283.74,172.38,SF
277.86,168.34,SF
275.03,161.78,WH
270.3,163.15,SF
262.84,163.23,SF
264.7,173.3,WH
272.87,181.33,SF
277.48,183.74,WH
283.89,174.77,WH
271.14,170.34,SF
269.48,172.17,WH
274.33,175.86,WH
274.08,176.16,WH
209.18,105.57,SF
194.83,102.11,WH
178.27,104.04,WH
176.44,112.08,SF
174.01,114.75,SF
178.26,117.57,SF
182.37,119.19,SF
182.97,116.18,WH
196.41,129.19,SF
201.15,110.49,WH
201.5,106.55,SF
194.38,112.14,SF
174.63,151.41,SF
179.84,153,SF
195.99,151.2,SF
189.5,134.18,WH
180.56,127.37,SF
178.71,134.21,SF
176.02,136.47,WH
171.58,139.98,SF
164.55,144.3,SF
160.49,147.55,SF
170.14,145.01,SF
173.92,143.23,SF
176.74,147.83,SF
178.04,145.42,SF
143.87,142.11,WH
149.75,143.15,SF
150.6,143.36,SF
156.05,142.49,SF
154.6,140.65,SF
160.69,140.36,WH
162.65,137.02,SF
164.05,134.78,SF
162.17,133.37,SF
159.19,132.42,SF
166.74,125.59,SF
153.41,124.11,SF
140.63,115.89,SF
141.38,120.25,SF
135.22,133.55,SF
138.47,137.97,SF
148.04,134.84,SF
148.32,133.74,SF
154.29,133.25,SF
153.79,130.25,SF
151.83,130.64,SF
146.53,123.78,SF
154.91,116.09,SF
158.24,115.31,SF
163.94,121.54,GF
176.05,98.73,GF
172.36,95.1,SF
164.53,95.85,GF
158.84,92.42,SF
149.01,97.91,SF
146.89,104.62,SF
145.69,103.14,SF
145.95,103.01,SF
149.16,111.14,SF
148.99,106.04,SF
151.61,106.84,SF
151.72,102.86,SF
157.43,99.43,SF
166.5,99.32,SF
169.71,100.38,SF
158.98,109.2,SF
114.58,106.21,SF
115.66,104.13,SF
120.63,104.05,SF
126.47,86.35,SF
128.25,85.14,SF
139.35,87.75,GF
138.93,104.32,GF
138.23,109.86,SF
133.7,111.08,SF
125.77,105.82,SF
122.65,100.49,GF
123.05,97.56,WH
125.54,98.56,SF
127.84,101.32,SF
128.48,104.55,SF
132.46,99.99,SF
111.58,118.91,SF
109.85,128.52,SF
112.83,124.04,SF
129.96,135.26,SF
132.43,130.33,SF
134.53,130,SF
130,127.48,SF
124.71,116.24,SF
120.9,115.49,SF
119.71,111.8,SF
112.53,109.98,GF
118.78,122.84,SF
120.41,131.47,SF
123.19,129.99,SF
123,127.62,GF
123.82,126.4,SF
124.64,123.57,SF
129.79,122.66,SF
121.99,125.12,SF
122.73,122.6,SF
109.77,101.21,SF
113.5,78.6,WH
109.84,82.62,SF
109.29,74.58,GF
105.22,75.99,SF
100.38,74.07,SF
97.1,72.76,WH
99.2,69.44,SF
97.58,69.05,SF
94.04,70.46,SF
92.22,75.47,SF
95.52,75.42,SF
94.87,78.99,DF
99.54,90.08,SF
100.81,90.31,SF
100.83,91.52,SF
106.99,88.9,SF
107.73,99.9,SF
106.34,102.19,WH
113.6,85.84,SF
108.24,85.17,SF
108.82,113.82,SF
104.11,116.48,SF
105.37,118.58,GF
105.26,120.95,SF
100.89,120.73,SF
101.45,126.23,SF
94.89,122.89,WH
100.96,117.3,SF
106.8,106.67,GF
107.01,107.5,SF
107.51,103.44,SF
98.32,105.77,SF
95.71,107.57,GF
94.21,107.09,GF
95.75,111.13,SF
80.99,118.58,GF
80.95,116.69,SF
83.31,112.45,SF
85.45,110.5,WH
83.83,107.77,GF
83.25,102.42,SF
92.76,102.14,SF
95.91,104.63,SF
97.71,102.57,SF
89.91,98.81,SF
87.18,94.67,SF
87.52,92.42,SF
101.12,101.4,SF
82.67,93.71,SF
82.71,98,SF
84.79,96.89,SF
69.97,106.19,SF
73.15,109.56,SF
80.57,107.34,SF
75.32,111.49,SF
78.15,113.96,SF
70.23,119.02,SF
68.1,119.09,SF
62.43,116.93,SF
62.48,113.3,WH
50.84,111.54,SF
50.99,112.67,SF
48.14,108.65,SF
58.26,109.04,SF
57.27,101.72,SF
56.97,96.9,SF
56.65,95.26,SF
57.55,93.86,SF
60.02,100.48,SF
60.91,102.55,SF
64.77,99.71,SF
63.05,101.67,SF
59.25,103.77,SF
61.14,103.99,SF
62.74,105.46,SF
62.21,110.26,SF
66.16,107.47,SF
65.27,104.88,SF
69.41,101.45,SF
64.55,88.69,SF
63.88,94.84,WH
58.6,90.18,SF
58.31,93.72,DF
52.36,94.31,SF
91.6,73.33,SF
80.3,63.83,WH
77.64,62.73,SF
74.82,66.33,SF
79.22,64.88,SF
72.62,77.27,WH
73.56,81.48,SF
72.9,81.35,SF
72.8,79.36,SF
70.03,82.22,SF
73.1,84.4,SF
73.04,85.71,SF
73.6,85.2,SF
75.81,86.35,SF
68.27,87.4,SF
65.48,80.55,SF
67.21,73.34,SF
72.7,64.97,SF
75.61,62.79,SF
68.49,60.75,SF
65.25,62.36,SF
64.75,59.72,SF
62.66,68.2,WH
62.49,75.58,SF
315.84,148.81,SF
312.04,150.24,SF
314.94,152.63,WH
313.45,158.11,SF
303.19,159.7,WH
297.06,133.94,WH
304.39,142.4,WH
295.28,143.05,WH
299.04,131.57,WH
289.23,128.09,SF
276.1,125.57,SF
192.83,97.78,WH
163.5,90.03,SF
146.06,82.99,SF
103.75,69.14,SF
314.56,177.84,SF
312.32,178.44,SF
307.99,178.16,SF
312.56,180.7,SF
304.86,187.29,WH
303.85,192.36,WH
293.21,191.45,WH
293.26,185.24,SF
295.08,184.45,WH
301.35,182.22,WH
299.63,163.98,SF
296.33,173.51,SF
296.25,176.85,SF
289.93,177.21,SF
286.1,178.31,WH
292.19,182.96,SF
292.36,183.96,WH
292.88,182.54,SF
264.56,166.26,SF
265.51,168.97,SF
263.14,169.56,WH
262.87,166.71,SF
270.64,167.38,DF
246.46,128.79,SF
152.68,139.15,SF
117.79,78.9,SF
23.24,89.66,SF
92.25,30.81,SF
81.28,18.58,WH
84.17,9.24,WH
18.72,99.44,WH
24.32,88.48,SF
25.39,83.84,SF
40.9,45.83,DF
39.85,52.22,SF
35.43,50.03,SF
38.22,56.74,SF
36.14,57.02,SF
36.85,59.51,SF
34.19,58.42,SF
32.04,58.55,SF
100.65,33.79,WH
97.07,31.88,DF
89.53,27.78,SF
89.96,25.28,SF
83.31,11.69,SF
83.71,11.2,WH
83.72,11.03,SF
54.7,23.32,SF
41.99,46.33,SF
39.26,47.92,SF
356.49,137.8,DF
357.13,138.69,SF
351.55,157.91,SF
262.23,216.49,SF
261.16,217.36,WH
261.21,214.57,SF
252.93,211.53,WH
241.48,209.5,WH
231.77,206.3,WH
187.29,196.94,DF
186.29,193.31,SF
183.13,190.74,DF
182.79,193.83,SF
178.66,193.55,SF
179.46,191.43,SF
174.76,186.42,SF
168.86,188.81,SF
165.8,183.69,SF
157.32,180.55,SF
157.07,183.79,SF
154.21,181.93,SF
132.26,172.65,SF
100.97,163.52,WH
104.22,167.15,DF
93.12,160.25,SF
85.78,157.57,WH
84.07,158.46,WH
83.16,156.52,WH
76.73,156.46,SF
23.53,137.86,SF
34.67,141.15,SF
