East_m,North_m,Species,DBH_cm
60.15,119.03,SF,16.9
292.2,168.23,SF,11.8
329.97,169.52,SF,16.7
90.53,38.86,SF,32.8
94.54,143.66,SF,11.6
191.59,157.11,SF,28.2
112.11,54.9,SF,36.3
45.66,67.85,SF,12.1
29.22,91.99,SF,18.5
253.79,165.31,WH,66.9
78.37,93.5,DF,95.8
184.19,176.14,SF,26
115.6,131.83,DF,108.7
27.58,70.68,SF,19.2
179.22,120.19,SF,10.4
295.07,110.01,SF,14
82.44,76.28,SF,10.1
294.2,177.68,SF,10
123.9,78.92,SF,12.4
64.33,117.46,SF,25.6
58.18,60.99,DF,136.7
6.78,127.46,DF,32.3
315.66,189.6,WH,36.8
122.48,155.4,WH,32.9
91.74,57.1,SF,10.4
105.2,108.58,DF,37.6
319.19,152.23,SF,16.4
125.16,144.87,SF,11.3
274.12,97.6,SF,12.6
123.62,107.5,SF,10.2
74.38,137.6,SF,18
200.54,180.45,WH,93.2
138.82,173.46,SF,24.8
96.51,144.5,WH,13.7
313.57,105.21,WH,48.5
156.56,184.47,SF,10.4
254.34,188.33,WH,87.7
247.98,118.21,WH,10.4
133.5,59.87,WH,64.1
240.89,147.67,WH,29.3
295,201.74,WH,79.3
177.24,153.49,SF,10.8
247.91,190.1,WH,64.8
111.06,143.47,SF,20.2
289.31,101.13,SF,16.5
201.82,168.64,SF,20.9
23.12,123.85,DF,28.5
41.94,75.9,DF,116.1
102.78,110.1,SF,20.2
310.55,214.75,WH,70
270.23,105.52,SF,16.8
28.27,104.12,SF,10
251.19,136.48,WH,52.6
271.16,103.3,SF,11.2
82.85,54.64,DF,105
171.97,86.54,SF,26.6
189.68,187.51,SF,13.4
218.95,141.57,SF,23
134.29,127.47,DF,121.3
98.73,124.67,WH,49.4
45.31,51.05,SF,16.8
63.63,43.28,SF,13
57.56,139.74,SF,18.7
252.97,158.04,SF,35
171.78,154.69,WH,94.9
77.71,108.15,SF,20.8
58.21,103.21,SF,12.2
54.69,85.57,SF,17.1
198.84,154.48,WH,47.4
73.96,35.12,SF,33.6
10.21,123.74,DF,80.4
88.64,66.09,DF,112.7
85.22,148.05,SF,11.6
91.24,69.91,SF,17.2
176.28,120.11,SF,18
296.33,171.81,SF,13.2
114.3,133.66,SF,16
112.44,133.73,SF,15.2
156.4,177.22,DF,74.3
107.21,63.18,SF,44.7
79.45,153.66,WH,14.5
183.04,144.05,SF,47
304.58,133.91,SF,13.2
57.26,111.86,SF,10.7
215.57,153.97,SF,54.5
295.72,161.49,WH,84.8
68.93,72.03,SF,47.8
13.27,131.24,DF,24.9
200.36,77.81,DF,140.2
41.29,137.33,DF,14.7
36.03,131.57,DF,23.4
31.34,102.59,WH,14.2
310.66,198.52,WH,24.6
144.5,148.45,SF,34.3
91.09,95.49,DF,112.2
136.36,132.13,SF,11.6
246.12,185.22,WH,19.5
107.77,92.19,SF,19.1
55.07,64.18,SF,12.7
151.05,157.95,SF,15.9
37.24,130,DF,31.8
295.52,112,SF,34.5
93.94,60.98,SF,13.7
133.2,169.46,WH,18.8
143.29,170.83,WH,51.7
119.53,133.84,WH,27.6
199.42,119.24,SF,20.2
132.39,167.42,WH,18.1
242.89,113.56,SF,10.2
149.11,149.67,SF,32
205.03,179.62,DF,135.9
95.08,147.33,SF,19.2
174.92,117.47,SF,14.2
52.01,97.2,SF,17.9
54.09,128.56,SF,20.6
15.3,121.73,WH,10.8
319.26,115.63,SF,14.4
65.92,137.13,SF,38.2
292.44,169.68,SF,9.1
90.87,79.34,DF,115.7
345.39,128.96,WH,77.8
81.28,155.93,SF,11.9
189.85,186.09,SF,18.2
83.94,127.76,SF,10.3
61.98,65.2,SF,18
35.23,130.19,DF,31.2
274.8,159.31,SF,11
46.67,78.92,SF,16.8
102.85,108.35,SF,14.2
62.34,139.62,WH,22.4
72.69,45.27,SF,19.1
69.83,108.45,SF,21.1
60.56,49.94,SF,13.4
102.02,87.06,DF,119.2
309.2,214.17,WH,12.5
344.06,159.53,SF,17.8
95.78,149.58,SF,22.2
257.41,172.91,WH,87.1
332.06,215.88,WH,19.1
300.53,156.1,WH,57.1
293.19,130.77,WH,69.4
94.67,118.07,SF,17.6
54.51,138.7,WH,12.9
50.96,126.59,SF,11.2
31.83,86.97,DF,74.6
122.08,78.63,SF,25.6
161.51,175.16,SF,19.9
117.07,124.12,SF,14.1
38.52,95.96,SF,13.8
107.59,101.85,SF,50.3
205.29,172.66,SF,10.6
281.85,103.65,SF,10.4
136.82,65.97,WH,35.1
191.67,70.82,WH,51
190.87,99.43,WH,30.5
293.24,124.37,WH,16.6
133.66,117.46,SF,15.7
286.83,110.66,SF,11.4
195.55,180.46,SF,26.3
62.5,138.68,WH,41.5
274.74,121.35,SF,19.7
51.19,104.82,DF,98
150.96,146.76,DF,137.3
264.51,157.3,SF,22.4
285.77,212.51,WH,57.3
185.04,181.26,SF,111
28.59,102.2,DF,122
305.07,220.4,DF,65.6
36.76,103.77,SF,10.1
73.3,41.88,SF,20.1
269.91,218.37,WH,60.4
358.77,139.98,SF,11
271.11,104.59,SF,11.4
254.86,92.12,SF,17.7
300.77,161.54,SF,12.6
165.93,94.03,GF,27
99.46,142.22,SF,22.5
103.36,59.75,DF,38
303.47,180.28,WH,62.5
93.84,41.78,SF,31.7
33.45,121.91,DF,25.8
277.61,122.72,SF,49.3
142.17,74.23,DF,131.4
26.75,128.27,SF,16.9
36.04,112.16,SF,13.4
175.96,123.73,DF,114.2
135.5,89.53,SF,21.9
263,135.76,DF,87.8
235.69,174.64,WH,37.1
23.65,91.18,SF,12.2
208.67,95.42,SF,13.2
140.57,122.37,SF,46
209.05,101.64,SF,31.5
127.65,167.72,SF,40.1
344.36,170.07,SF,28
258.12,91.56,SF,10.7
117.43,99.21,SF,13.7
44.59,125.62,SF,18.4
52.87,137.58,SF,11.1
88.58,75.6,SF,11.9
161.65,168.02,DF,100.5
129.74,150.9,SF,16.8
332.78,143.47,WH,90.7
35.56,140.74,DF,50.8
328.67,190.47,WH,42.8
73.76,38.35,SF,11.3
80.4,152.06,SF,11.2
279.44,211.12,WH,60.9
328.49,163.94,SF,12.9
36.4,91.03,SF,12.6
203.79,77.9,SF,13.2
196.71,93.2,WH,25.3
94.94,150.63,SF,16.2
62.81,37.33,SF,32.5
108.33,43.95,DF,69.3
179.91,138.12,SF,44
187.59,153.04,SF,35.2
76.13,153.88,WH,25.8
70.57,84.83,SF,15.1
48.09,110.26,SF,23.1
27.05,92.73,SF,10.6
18.35,134.97,DF,30.7
203.94,180.17,SF,23.2
192.39,132.98,SF,18.4
275.95,131.38,SF,23.4
67.59,48.5,SF,13.9
266.87,147.34,SF,17.3
282.13,120.14,SF,23.3
226.58,194.34,WH,65.3
109.43,42.59,DF,74.8
344.04,139.03,SF,12.7
56.38,134.93,SF,12.1
96.92,142.42,WH,18.9
137.33,130.29,SF,18.3
34.7,71.85,SF,13
209.47,83.74,SF,25.7
89.32,147.95,SF,18.2
150.46,85.81,SF,27.5
285.94,187.72,DF,117.9
46.01,62.3,SF,16.3
184.53,195.45,SF,20.4
76.28,148.85,WH,14.1
156.28,78.72,SF,16
132.49,169.12,SF,31.8
19.25,131.45,SF,13.5
91.85,114.25,SF,25.5
107.75,53.51,SF,22
104.27,128.82,GF,37.7
226.7,187.52,WH,85.4
312.08,159.03,SF,27.9
288.77,106.25,SF,10.9
39.51,115.57,SF,14.2
107.32,154.63,WH,22.5
194.31,165.77,SF,50.5
96.53,65.34,SF,12.2
238.2,88.58,WH,21.3
59.84,80.01,SF,15.3
27.15,78.81,SF,30.1
158.53,172.94,SF,17.4
80.51,127.13,SF,23.4
131.53,75.44,SF,14
78.5,97.9,SF,15.8
287.81,117.29,SF,23.4
118.95,115.98,SF,20.8
193.21,146.88,WH,99.9
182.13,100.63,SF,19.5
82.46,10.94,DF,72.7
242.46,100.38,WH,61.9
161.38,127.88,SF,16.7
155.45,130.89,SF,13.9
238.8,83.76,DF,128.4
272.25,159.55,SF,15.4
101.62,95.3,GF,50.8
290.42,110.59,SF,36.4
259.12,112.97,SF,25.5
102.04,74.9,SF,10.6
40.26,140.63,DF,29.7
273.33,100.36,SF,10.3
258.74,96.71,DF,189.8
177.75,188.88,SF,32.8
82.65,62.42,DF,127.2
329.99,147.92,WH,20.4
46.72,78.62,SF,40.7
265.97,196.77,WH,47.3
324.7,229.1,SF,22.7
42.26,133.82,SF,10.5
99.03,91.22,WH,19
29.81,132.56,DF,18.1
208.44,191.83,SF,13.2
24.18,127.7,WH,26.2
34.54,62.38,SF,27.4
145.74,110.51,SF,15.4
66.63,140.02,SF,15.8
122.43,119.56,DF,117.3
300.66,103.03,SF,14.4
96.55,72.36,WH,20
136.33,113.69,DF,118.8
180.51,84.08,WH,47.9
108.36,107.42,SF,14.8
100.5,114.33,DF,116.1
329.24,202.96,SF,10
155.38,153.43,SF,13.1
138.11,117.13,DF,71.5
143.91,139,DF,71.4
49.87,75.77,WH,25.2
59.31,125.81,WH,28.5
162.29,81.54,SF,12.5
98.45,108.56,GF,29.8
83.62,85.28,SF,20.1
36.69,103.81,SF,31.8
215.37,189.2,WH,14.8
198.19,192.34,SF,10.7
147.98,57.07,DF,104.4
85.49,92.04,SF,27.4
123.44,95.67,WH,75
81.45,84.75,SF,19.8
37.62,105.89,SF,27.2
68.41,125.25,SF,12.5
302.26,156.83,WH,75.8
135.89,94.63,SF,17.6
113.91,103.6,SF,11.5
68.77,89.28,SF,31.2
215.08,181.05,WH,28.6
97.93,112.3,SF,16
100.72,75.7,GF,40.1
248.78,130.82,SF,13.9
263.62,210.96,WH,11.5
43.08,103.57,SF,14.7
100.58,154.06,SF,13.8
308.83,184.22,DF,134.4
302.71,172.79,WH,62.9
201.29,101.44,WH,74.5
49.31,110.02,GF,19.1
187.68,136.66,WH,36.7
119.97,52.01,DF,70.4
332.31,141.2,DF,70.9
120.16,159.9,WH,33.8
269.31,218.26,WH,14.3
54.91,128.95,SF,11.8
181.92,149.97,DF,113.6
131.84,103.56,GF,51.7
261,158.34,SF,10.3
250.39,139.51,WH,69.6
183.89,125.04,DF,87.4
112.65,65.65,SF,12.9
93.68,161.48,SF,10.2
35.26,100.64,SF,28
59.88,52.26,WH,12.5
277.74,173.21,WH,57.3
274.89,188.91,WH,18.9
24.15,111.88,WH,37
170.07,103.62,SF,9.6
255.88,90.95,SF,19.3
304.3,120.38,WH,22.7
318.08,194.27,WH,23.4
117.93,136.86,SF,29.6
110.65,153.2,SF,15.3
273.65,215.79,WH,22
227.83,155.19,WH,63.9
103.53,63.66,WH,46.1
76.85,46.34,WH,10.6
324.22,167.74,SF,16.7
69.77,148.65,SF,11.4
147.03,81.74,GF,22.1
224.67,134.34,WH,25.6
328.4,116.37,WH,80.5
277.37,180.6,SF,17.1
52.25,55.07,SF,11.1
351.14,126.59,DF,129.6
88.28,74.18,SF,24.4
172.54,86.41,SF,31.1
327.6,225.99,SF,15
85.6,69.49,WH,10.5
66.05,78.72,SF,20.5
152.18,128.06,SF,47.9
123.31,162.69,DF,91.2
85.87,139.02,SF,23.8
320.85,163.36,SF,23.8
165.23,174.46,SF,10.7
293.66,116.53,DF,205.5
49.7,135.46,SF,18.2
89.6,141.98,SF,11.5
28.58,118.46,DF,22.3
274.63,179.45,SF,15
307.06,189.12,WH,14.5
77.38,43.08,SF,21.7
302.02,184.5,SF,23
97,158.78,WH,49.2
187.89,128.82,WH,22
140.37,80.09,WH,73.5
52.09,125.16,SF,11.8
224.9,158.39,WH,72.4
351.43,139.79,WH,12.5
213.1,94.17,SF,13.1
267.07,91.97,SF,20.8
161.61,81.42,WH,19.6
87.4,100.85,SF,34.4
28.49,95.57,SF,25.7
326.55,195.37,WH,25.4
303.75,111.34,WH,84.9
146.79,61.8,SF,40.3
88.78,62.22,WH,48.6
151.53,149.25,SF,21
191.96,150.93,SF,10.7
22.69,135.67,DF,11
237.06,135.32,WH,14.9
206.38,162.1,SF,21
128.91,133.49,DF,94.4
175.45,101.32,WH,33.5
323.13,172.76,SF,26.6
88.06,14.79,DF,98.9
152.4,156.36,DF,55
291.67,193.17,WH,95.7
222.63,181.09,WH,33.7
112.37,61.07,DF,90.9
239.21,87.72,WH,28.4
188.03,175.47,SF,10.6
259.71,167.55,WH,31.3
123.19,137.91,SF,17.5
265,210.15,SF,58
286.2,207.55,WH,16.6
242.88,116.25,SF,31.9
14.65,110.83,WH,26.1
230.63,104.66,WH,26.5
172.63,122.74,SF,28.9
313.15,121.55,WH,50.7
117.7,62.54,WH,88.2
266.08,171.17,SF,11.3
78.98,110.73,SF,18.7
166.86,147.32,SF,26.3
94.61,72.77,WH,26
158.58,136.7,SF,10.5
185.83,90.78,DF,100.8
296.56,203.3,WH,25.5
191.15,165.05,SF,9.8
131.57,110.44,SF,30.9
337.37,185.62,WH,24.2
136.26,133.55,SF,16.8
154.9,167.82,SF,35.3
40.47,114.68,WH,10.7
213.97,160.6,SF,14.6
328.63,114.25,SF,24.2
82.41,87.77,DF,47.3
312.85,175.19,SF,34.5
262.13,124.67,SF,25.5
215.32,174.99,DF,68.5
119.75,82.3,SF,13.5
167.83,180.98,WH,81
90.28,102.13,GF,40
73.38,76.33,SF,25
160.74,103.86,GF,32.2
229.25,137.36,WH,68.7
86.87,108.99,SF,22.7
134.09,150.43,DF,104.9
227.81,154.23,WH,41
41.29,81.12,SF,23.4
201.95,197.26,WH,88.1
61.25,112.89,SF,31.4
323.09,179.99,SF,10.8
224.64,104.57,WH,64
66.77,78.53,SF,36.9
79.1,49.99,SF,21.5
269.95,186.37,WH,53
231.29,151.62,WH,45.5
129.48,104.67,SF,21.5
34.89,110.04,SF,15.3
64.88,50.59,SF,24.7
175.54,181.15,SF,16.63
270.98,96.05,SF,20.4
112.14,87.17,SF,10.4
187.81,108.8,WH,55.1
96.46,86.5,WH,74.8
61.16,42.74,SF,59.3
214.5,190.3,WH,80.8
78.84,46.85,DF,85.7
39.51,61.32,DF,106.9
79.74,95.65,SF,41
293.5,220.66,SF,22.7
84.36,40.04,DF,107.2
261.76,136.56,DF,81
51.06,59.16,SF,17.8
307.96,219.84,SF,14.8
245.2,176.53,SF,10.3
24.59,92.65,SF,11.9
182.21,158.33,SF,21.2
183.9,172.47,SF,11.4
77.19,135.93,SF,22.7
220.46,139.32,SF,12.8
242.23,138.46,WH,10.9
36.56,140.44,SF,24.9
321.07,172.8,SF,42.6
316.22,126.11,WH,22.3
252.72,211.77,WH,27.1
122.32,49.52,WH,76.3
136.56,71.8,SF,10.8
252.1,107.85,SF,13.9
74.95,82.89,SF,22.3
65.77,99.51,SF,15.2
113.84,164.68,DF,88.3
171.44,120.57,SF,11.5
226.39,83.19,WH,20.2
165.79,150.46,SF,31.9
82.2,43.27,SF,24.8
139.83,57.15,DF,104
48.75,48.37,SF,10.3
310.83,207.24,DF,95
298.69,220.38,DF,91.7
305.78,152.13,WH,17.2
250.59,111.89,SF,21.6
333.33,132.19,DF,139.8
24.96,108.74,SF,20.8
324.21,136.24,WH,67
101.62,146.57,SF,10.2
128.2,63.8,SF,63.8
42.93,132.62,SF,29.4
83.29,142.57,SF,18
39.83,101.5,SF,18
28.72,92.71,SF,30
224.51,85.24,WH,48.7
88.07,113.74,SF,31.2
259.17,201.79,SF,38.2
150.24,128.32,SF,15.6
76.8,128.67,WH,58.1
317.4,189.45,WH,52.8
265.28,101.09,SF,15.7
205.35,151.73,DF,158.2
44.13,68.57,SF,11
169.3,99.48,DF,111.9
225.74,132.9,WH,38.2
14.77,125.34,DF,36.5
293.41,101.04,WH,22.7
181.67,83.69,WH,61.6
207.88,79.52,SF,35.8
156.56,76.73,DF,95.6
23.21,131.94,SF,16.5
151.33,173.92,SF,43.7
135.99,129.07,SF,14.5
234.52,199.53,WH,49.4
80.99,154.8,SF,11.7
243.44,159.12,WH,25.1
58.4,127.07,SF,42
142.91,100.4,SF,47
104.74,154.72,SF,13.7
256.69,149.74,DF,125.9
27.38,110.67,SF,10
84.26,117.22,WH,76.1
279.85,134.11,SF,53.2
60,121.25,SF,21.4
195.57,106.12,WH,33
270.04,92.63,SF,36.3
316.41,180.59,WH,12.4
148.5,179.64,SF,26.3
258.64,206.54,WH,81.8
178.96,108.9,SF,21.3
22.53,109.65,SF,10
87.57,56.72,SF,10.8
71.86,49.01,SF,10.9
82.55,111.05,SF,15.4
210.93,106.85,WH,72.4
62.51,53.94,SF,10.8
300.11,221.81,DF,95.4
257.41,120.11,SF,45.6
322.62,123.08,WH,26.1
301.02,115.97,DF,120.5
74.37,98.04,DF,117.8
332.65,186.07,WH,88.8
12.36,129.02,WH,19.8
290.37,101.55,SF,15.7
59.36,91.45,SF,10.5
195.22,85.53,WH,54
105.95,57.54,DF,88.5
318.49,136.64,DF,99
319.27,143.77,WH,11.5
16.07,119.37,SF,11.8
331.6,121.35,SF,17.2
341.51,138.03,SF,12.8
182.12,151.56,SF,35.3
179.86,177.88,SF,23.7
84.4,46.46,WH,38.5
50.35,124.25,DF,93.4
78.81,104.16,WH,51.9
321.83,177.32,SF,14.4
215.25,160.31,SF,36.9
198,92.64,WH,62.9
148.32,96.32,SF,25
43.7,116.02,SF,13.4
59.1,39.3,DF,120.5
249.59,160.26,WH,49.7
316.23,228.23,SF,21.3
295.01,119.32,WH,14.8
114.34,97.48,GF,36.9
52.29,122.3,WH,13.6
86.4,72.12,WH,15.8
153.88,180,DF,85.3
29.69,103.9,WH,26
159.14,96.22,DF,70.7
107.54,75.48,DF,69.1
39.77,103.51,SF,18
54.57,62.49,SF,12.4
175.34,115.24,SF,16.8
